Training:   2%|▏         | 63/3906.0 [12:05<11:13:10, 10.51s/update, return=125.90, step=1.61e+7]
Training:   2%|▏         | 64/3906.0 [12:15<11:12:47, 10.51s/update, return=125.90, step=1.61e+7]
Training:   2%|▏         | 64/3906.0 [12:15<11:12:47, 10.51s/update, return=120.73, step=1.64e+7]
Training:   2%|▏         | 65/3906.0 [12:26<11:12:37, 10.51s/update, return=120.87, step=1.66e+7]
Training:   2%|▏         | 65/3906.0 [12:30<11:12:37, 10.51s/update, return=120.87, step=1.66e+7]
Training:   2%|▏         | 66/3906.0 [12:36<11:12:26, 10.51s/update, return=131.98, step=1.69e+7]
Training:   2%|▏         | 67/3906.0 [12:47<11:12:05, 10.50s/update, return=131.98, step=1.69e+7]
Training:   2%|▏         | 67/3906.0 [12:47<11:12:05, 10.50s/update, return=131.69, step=1.72e+7]
Training:   2%|▏         | 68/3906.0 [12:57<11:11:55, 10.50s/update, return=130.66, step=1.74e+7]
Training:   2%|▏         | 68/3906.0 [13:00<11:11:55, 10.50s/update, return=130.66, step=1.74e+7]
Training:   2%|▏         | 69/3906.0 [13:08<11:11:44, 10.50s/update, return=126.16, step=1.77e+7]
Training:   2%|▏         | 70/3906.0 [13:18<11:11:35, 10.50s/update, return=126.16, step=1.77e+7]
Training:   2%|▏         | 70/3906.0 [13:18<11:11:35, 10.50s/update, return=128.97, step=1.79e+7]
Training:   2%|▏         | 71/3906.0 [13:29<11:11:24, 10.50s/update, return=129.42, step=1.82e+7]
Training:   2%|▏         | 71/3906.0 [13:30<11:11:24, 10.50s/update, return=129.42, step=1.82e+7]
Training:   2%|▏         | 72/3906.0 [13:39<11:11:14, 10.50s/update, return=128.35, step=1.84e+7]
Training:   2%|▏         | 73/3906.0 [13:50<11:11:04, 10.50s/update, return=128.35, step=1.84e+7]
Training:   2%|▏         | 73/3906.0 [13:50<11:11:04, 10.50s/update, return=130.85, step=1.87e+7]
Training:   2%|▏         | 74/3906.0 [14:00<11:10:53, 10.50s/update, return=128.60, step=1.89e+7]
Training:   2%|▏         | 74/3906.0 [14:10<11:10:53, 10.50s/update, return=128.60, step=1.89e+7]
Training:   2%|▏         | 75/3906.0 [14:11<11:10:43, 10.50s/update, return=134.11, step=1.92e+7]
Training:   2%|▏         | 76/3906.0 [14:21<11:10:33, 10.50s/update, return=134.11, step=1.92e+7]
Training:   2%|▏         | 76/3906.0 [14:21<11:10:33, 10.50s/update, return=128.95, step=1.95e+7]
Training:   2%|▏         | 77/3906.0 [14:32<11:10:23, 10.50s/update, return=130.71, step=1.97e+7]
Training:   2%|▏         | 77/3906.0 [14:40<11:10:23, 10.50s/update, return=130.71, step=1.97e+7]
Training:   2%|▏         | 78/3906.0 [14:42<11:10:12, 10.50s/update, return=129.23, step=2e+7]   
Training:   2%|▏         | 79/3906.0 [14:53<11:10:01, 10.50s/update, return=129.23, step=2e+7]
Training:   2%|▏         | 79/3906.0 [14:53<11:10:01, 10.50s/update, return=125.37, step=2.02e+7]
Training:   2%|▏         | 80/3906.0 [15:03<11:09:51, 10.50s/update, return=128.94, step=2.05e+7]
